rollno,name,m1,m2,m3,m4,phonenum,address,city,pincode,
1,Gloria,82,42,83,13,9402753835,6/4 Bellandur,Banglore,510144,
2,Clio,5,28,97,96,9021927286,1/3 Marathahalli,Banglore,516535,
3,Shellie,51,25,89,94,9082750239,1/3 Marathahalli,Banglore,518119,
4,Liberty,55,52,87,50,9862979518,2/4 Jayanagar,Banglore,528538,
5,Zane,17,45,6,35,9563028584,2-4-5 Jayanagar,Banglore,530847,
6,Tiger,68,4,75,98,9080944499,1-4-5 Jayanagar,Banglore,533785,
7,Brynne,40,78,2,35,9390883765,2-4-5 Jayanagar,Banglore,534679,
8,Burton,74,97,69,25,9277142761,2-4-5 Jayanagar,Banglore,537382,
9,Troy,65,87,45,38,9457434522,1/3 Marathahalli,Banglore,539693,
10,Ifeoma,9,95,23,29,9871099218,1/3 Marathahalli,Banglore,541788,
11,Joseph,17,30,100,95,9305099214,1-2-4 STREET Whitefield,Banglore,545820,
12,Jesse,93,96,10,66,9979604191,4th STREET whitefield,Banglore,548121,
13,Hedley,65,55,56,41,9372593544,1 Hebbal,Banglore,549200,
14,Stewart,84,27,95,61,9840390322,2 Hebbal,Banglore,559452,
15,Keane,35,78,59,32,9681093873,3 Hebbal,Banglore,561693,
16,Adam,70,56,3,43,9476602719,34 Airport,Banglore,566689,
17,Caleb,86,67,9,27,9615864416,45 Airport,Banglore,568004,
18,Genevieve,31,3,27,52,9754919684,64 Kadubeesanahalli,Banglore,568256,
19,Kieran,18,21,41,16,9221347179,21 Kaduhasanahalli,Banglore,573166,
20,Charde,89,100,69,18,9903498628,40 Marathahalli,Banglore,581345,
21,Joseph,27,11,45,77,9775856661,64 Kadubeesanahalli,Banglore,586901,
22,Molly,72,65,92,24,9483947630,64 Kadubeesanahalli,Banglore,587769,
23,Blossom,52,84,51,32,9680649843,64 Kadubeesanahalli,Banglore,588458,
24,Samantha,65,61,76,29,9827589343,1000 Yeshwantpur,Banglore,592155,
25,TaShya,33,75,27,94,9283764841,2000 Yeshwantpur,Banglore,595443,
26,Maia,74,24,18,64,9491699900,1/2 Adarsh Nagar,Bhimavaram,500113,
27,Hayden,15,75,27,59,9843627199,3/4 Gunupudi,Bhimavaram,505884,
28,Leo,86,42,6,38,9873273012,5/16 Narasimhapuram,Bhimavaram,512868,
29,Kirsten,100,26,76,96,9383578582,21/2 Raayalam,Bhimavaram,516920,
30,Yoko,20,88,1,43,9694292869,3-9-324 Pedamiram colony,Bhimavaram,518437,
31,Ava,97,47,53,50,9613398877,3/1 Srirampuram,Bhimavaram,520839,
32,Brock,100,44,29,40,9363670149,1/28 Srirampuram,Bhimavaram,520943,
33,Vielka,22,89,16,92,9540856630,2-1-2 Narasimhapuram,Bhimavaram,523074,
34,Ryder,88,86,23,68,9069483892,3/14 Adarsh Nagar,Bhimavaram,526861,
35,Quin,10,72,95,58,9656409684,280/3 Srirampuram,Bhimavaram,527862,
36,Wyoming,97,95,6,68,9171573982,303 Srirampuram,Bhimavaram,531854,
37,Igor,97,95,86,60,9129236142,1/23 Srirampuram,Bhimavaram,533951,
38,Timothy,28,59,22,48,9032233931,1/2 Pedamiram colony,Bhimavaram,534016,
39,Griffin,8,96,90,87,9118636946,3/4/16 Raayalam,Bhimavaram,534046,
40,Petra,23,34,67,54,9179037758,11/3 Pedamiram colony,Bhimavaram,534785,
41,Nehru,72,47,19,92,9209139286,10/1 Sivaraopeta,Bhimavaram,538004,
42,Troy,95,66,18,75,9493878355,11/2 Gandhinagar,Bhimavaram,538206,
43,Rose,79,95,78,77,9214854100,1/17 Gunupudi,Bhimavaram,540282,
44,Bruce,27,44,39,48,9989355743,2-1-111 Sivaraopeta,Bhimavaram,540346,
45,Paula,67,2,60,48,9819203541,1-1006 Maruthi Nagar,Bhimavaram,544481,
46,Hyatt,39,10,53,38,9776085203,22/2 Narasimhapuram,Bhimavaram,551034,
47,Lacota,45,80,98,87,9734315343,13/11 Narasimhapuram,Bhimavaram,551061,
48,Stephanie,61,69,70,82,9017628789,11/2 Gandhinagar,Bhimavaram,552319,
49,Reuben,43,18,76,38,9701573683,1/14 Maruthi Nagar,Bhimavaram,552754,
50,Caesar,14,6,97,20,9170620761,30/2 Gandhinagar,Bhimavaram,553256,
